KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
K01554.01,FALSE POSITIVE,1.332564478,354.58908,1.248,6.0325,1071.5,27.04,1618.0,1627.5,119.6,5995.0,4.536,0.878,295.21103,46.757229,15.866
K01555.01,FALSE POSITIVE,41.0772969,379.12848,0.03,5.525,1216.8,3.25,523.0,17.74,28.8,5665.0,4.381,0.938,289.07703,51.761822,14.907
K01556.01,FALSE POSITIVE,135.9121619,277.33,1.256,5.628,10188.0,40.18,370.0,4.41,99.5,6141.0,4.468,0.959,296.4176,46.732021,15.535
K01952.04,CONFIRMED,42.4729078,146.28712,0.361,7.253,334.0,2.03,539.0,19.93,22.8,5616.0,4.327,1.111,289.86157,43.472771,14.601
K01955.01,CONFIRMED,15.17026921,132.6655,0.917,4.3311,224.8,2.47,905.0,158.23,45.4,6297.0,4.26,1.369,292.67807,46.726711,13.147
K01955.02,CONFIRMED,39.4576228,136.47398,0.967,9.557,244.8,2.8,658.0,44.26,41.6,6297.0,4.26,1.369,292.67807,46.726711,13.147
K01958.01,CONFIRMED,17.8159689,134.4832,0.911,3.6765,776.8,3.12,699.0,56.48,22.5,5964.0,4.484,0.933,293.98157,46.687752,15.2
K01959.01,CONFIRMED,36.5157639,151.28989,0.787,3.6577,861.3,2.55,425.0,7.71,34.7,4847.0,4.54,0.781,283.60526,39.997978,14.254
K02032.01,CONFIRMED,14.07969236,139.96053,0.544,1.375,169.5,2.08,931.0,177.81,26.2,5821.0,4.097,1.547,290.52676,38.142979,12.261
K02033.01,CONFIRMED,16.54081386,133.95274,0.688,2.5996,370.0,1.57,570.0,24.87,32.8,5064.0,4.572,0.769,291.74164,37.688938,13.755
K02034.01,CONFIRMED,3.609313059,133.79024,0.408,1.7752,1375.1,3.26,1092.0,336.16,35.0,5668.0,4.545,0.868,294.51126,38.790501,15.54
K02035.01,CONFIRMED,1.93155546,131.76708,0.861,1.614,504.9,2.25,1290.0,655.43,8.6,5461.0,4.552,0.858,298.86658,46.502239,13.007
K02036.01,CONFIRMED,8.41100305,133.79856,0.905,2.4553,755.6,1.8,472.0,11.71,27.6,3757.0,4.718,0.539,296.85663,41.758179,15.773
K01825.01,CONFIRMED,13.52252364,142.17932,0.216,3.987,690.6,2.11,652.0,42.82,22.4,5338.0,4.557,0.816,295.30008,40.556591,13.895
K01826.01,CONFIRMED,134.2520474,182.70534,0.001,9.0636,832.1,3.43,393.0,5.63,57.2,5818.0,4.276,1.2,298.51532,41.891201,13.35
K00199.01,CONFIRMED,3.268695042,137.4817205,0.065,3.45188,10091.0,16.91,1597.0,1539.0,1429.9,5927.0,4.046,1.691,295.02567,46.956001,14.879
K01828.01,CONFIRMED,99.7468804,208.39688,0.828,6.804,1287.0,3.94,391.0,5.55,45.6,5620.0,4.363,0.974,297.27057,50.121811,14.422
K01829.01,FALSE POSITIVE,22.84156293,138.632,1.267,2.5997,2940.7,30.0,557.0,22.78,47.6,5381.0,4.538,0.826,296.52243,43.363369,15.911
K00205.01,CONFIRMED,11.720123999,142.173999,0.623,3.0039,9763.3,7.94,660.0,44.89,707.3,5215.0,4.564,0.77,295.49667,42.537891,14.518
K01890.01,CONFIRMED,4.33643506,133.85442,0.641,4.1445,108.5,1.75,1453.0,1054.56,48.0,6180.0,4.133,1.603,293.0795,43.073711,11.704
